gene_ontology_primary_id	gene_ontology_name	gene_ontology_all_ids	gene
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT1G78600
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT5G13800
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT4G13250
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT5G04900
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT2G47770
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT1G04620
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT4G01660
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT4G31390
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT2G20890
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT2G40400
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT5G38520
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT5G54190
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT3G02780
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT4G27430
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT3G09150
GO:0033013	tetrapyrrole metabolic process	GO:0006778;GO:0006779;GO:0015994;GO:0015995;GO:0033013;GO:0033014	AT2G36680
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT1G44170
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT3G66658
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT4G34240
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT4G36250
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT2G05710
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT2G22780
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT3G21720
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT4G26970
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT5G03860
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT5G09660
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT1G09420
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT1G71170
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT2G01140
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT2G21330
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT2G36460
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT3G02360
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT3G27300
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT3G52930
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT3G55440
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT4G26520
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT4G38970
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT5G03690
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT5G13420
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT5G57655
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT1G71100
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT2G01290
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT3G04790
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT5G44520
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT5G61410
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT5G37850
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT1G06130
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT1G53580
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT2G31350
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT2G43430
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT3G10850
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT1G63970
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT2G02500
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT2G26930
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT4G34350
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT2G38210
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT2G38230
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT3G16050
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT5G01410
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT5G60540
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT1G02205
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT2G41530
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT5G62790
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT4G15560
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT5G43940
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT3G16910
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT5G60600
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT4G14850
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT5G49970
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT5G42890
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT5G06580
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT2G21170
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT5G53580
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT1G53280
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT3G02720
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT3G14990
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT1G08110
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT1G11840
